stop_id,stop_lat,stop_lon
213081,33.785674,-84.407509
902150,33.833846,-84.339882
109018,33.727535,-84.185867
902059,33.797178,-84.322395
146228,33.68922,-84.458078
901846,33.824286,-84.179569
903333,33.756523,-84.238129
127052,33.722184,-84.349424
108010,33.737149,-84.229359
900840,33.764275,-84.233762
107094,33.7388,-84.252083
191090,33.55362,-84.598025
176192,33.622105,-84.498817
903751,33.764011,-84.509755
902814,33.944667,-84.371747
131030,33.70838,-84.23424
906362,33.924369,-84.377367
903868,33.777623,-84.47414
902135,33.785934,-84.491669
901979,33.838948,-84.333288
902115,33.831781,-84.197946
905526,33.844399,-84.371807
903117,34.042966,-84.332759
211891,33.653653,-84.236214
212864,33.719169,-84.310293
903359,33.776903,-84.244361
902968,34.047978,-84.288581
212044,33.741919,-84.358126
901237,33.73733,-84.557701
905679,33.810589,-84.239441
900568,33.825135,-84.354494
901949,33.800802,-84.329161
213349,33.736925,-84.396785
905327,33.848104,-84.315439
211997,33.729619,-84.510554
903217,34.096344,-84.260561
212359,33.620083,-84.382298
122387,33.722031,-84.464254
212021,33.65875,-84.503926
905634,33.88166,-84.290329
901370,33.746577,-84.49655
901290,33.726624,-84.590042
905353,33.880196,-84.274536
212089,33.639295,-84.361057
904102,33.806518,-84.178068
159296,33.680822,-84.368114
902568,33.787974,-84.470495
164024,33.663878,-84.522885
212141,33.570973,-84.402804
903301,33.763773,-84.223151
904471,33.761578,-84.246902
212143,33.564783,-84.408459
901980,33.828878,-84.345736
210117,33.69749,-84.155894
211221,33.659915,-84.508663
133040,33.706031,-84.169359
212735,33.555726,-84.415346
902726,33.933964,-84.33758
213195,33.851859,-84.208886
902191,33.825342,-84.257488
175018,33.618226,-84.510975
905304,33.857078,-84.349041
901442,33.809281,-84.412919
903130,34.007536,-84.353101
901919,33.837077,-84.311693
905627,33.879245,-84.379733
901549,33.789043,-84.476591
901552,33.788638,-84.437008
113036,33.734823,-84.429954
211548,33.828136,-84.33876
905988,33.890188,-84.381275
211907,33.69244,-84.088632
133097,33.71657,-84.135533
904121,33.764698,-84.451424
905652,33.879027,-84.248317
900880,33.752562,-84.486377
115130,33.736799,-84.381981
903659,33.792119,-84.258311
133148,33.70698,-84.115039
134016,33.710866,-84.108797
901610,33.825947,-84.19907
903010,33.918943,-84.360434
153036,33.681347,-84.273502
132026,33.724709,-84.178726
904731,33.781395,-84.410361
191082,33.570421,-84.574023
148042,33.659748,-84.407974
903428,33.763766,-84.206483
145011,33.692724,-84.49015
905173,33.865654,-84.303093
212228,33.705025,-84.275551
906312,34.061096,-84.324554
211378,33.763512,-84.437984
121174,33.72277,-84.499747
211060,33.563479,-84.468539
129294,33.711333,-84.291917
900421,33.818648,-84.46274
906136,33.856338,-84.313848
126120,33.71832,-84.368482
212510,33.621781,-84.369688
904202,33.790421,-84.17186
212517,33.527578,-84.363054
900977,33.754249,-84.476466
151090,33.692455,-84.350708
906001,33.857882,-84.381481
130169,33.718166,-84.25228
212358,33.620775,-84.376839
105228,33.747447,-84.328539
906392,33.517397,-84.669803
212088,33.635249,-84.358884
211540,33.566881,-84.522989
133164,33.70367,-84.15965
193002,33.578668,-84.498211
210065,33.766815,-84.194899
158288,33.679518,-84.432041
210380,33.793192,-84.407909
903150,33.970314,-84.359644
901947,33.803434,-84.333578
210024,33.756153,-84.165498
904092,33.791576,-84.235884
126097,33.728539,-84.378465
211889,33.651277,-84.243904
900031,33.715668,-84.392104
904668,33.781388,-84.404391
138004,33.711254,-84.381989
100014,33.745587,-84.417784
904342,33.763481,-84.423479
210013,33.734513,-84.168313
901937,33.79901,-84.416163
902593,33.837153,-84.238781
169026,33.66198,-84.24609
903636,33.78637,-84.20341
906087,33.895425,-84.239991
900427,33.862217,-84.292091
104068,33.746627,-84.359052
904414,33.773743,-84.370636
211010,34.102819,-84.255926
902347,33.774933,-84.447526
133050,33.723202,-84.167702
902763,33.922049,-84.296748
902913,33.758338,-84.347739
902852,33.955399,-84.364582
110004,33.746738,-84.140968
134092,33.69953,-84.11732
900698,33.745017,-84.55893
212496,33.518436,-84.363429
213208,33.596516,-84.333892
212660,33.564795,-84.371054
105018,33.727647,-84.325332
903302,33.769342,-84.235365
901667,33.8116,-84.426369
212231,33.619465,-84.362459
212408,33.518449,-84.407478
212876,33.735991,-84.565001
133022,33.705687,-84.142231
106096,33.737281,-84.287323
902131,33.799299,-84.370757
184098,33.597156,-84.498187
212709,33.637761,-84.319741
212053,34.068812,-84.277219
905631,33.885544,-84.288221
902872,34.0383,-84.30651
165048,33.640148,-84.491117
212542,33.627217,-84.385668
211942,33.798717,-84.280136
900314,33.849332,-84.213374
900209,33.729683,-84.440666
153044,33.673804,-84.263776
900269,33.85131,-84.249269
145310,33.682273,-84.493737
138040,33.707018,-84.397561
131050,33.718395,-84.228491
905465,33.862521,-84.306967
159042,33.665097,-84.380289
904480,33.782677,-84.354515
210029,33.747507,-84.165352
114236,33.734075,-84.401608
134112,33.69861,-84.108081
108094,33.736843,-84.216849
114092,33.729164,-84.407906
130118,33.709747,-84.266975
122034,33.714463,-84.434262
902850,33.962807,-84.365623
212434,33.544686,-84.402735
137044,33.707047,-84.407948
128088,33.712376,-84.329352
159084,33.673525,-84.371444
106312,33.734315,-84.309812
150026,33.688701,-84.36411
212084,33.623791,-84.354049
128190,33.717245,-84.329831
212194,33.648336,-84.365491
902791,34.028137,-84.335359
903575,33.781913,-84.456629
211497,33.828521,-84.331198
901477,33.821585,-84.334755
900055,33.764899,-84.349122
139054,33.706543,-84.379454
211058,33.552183,-84.465586
213272,33.836841,-84.200789
131166,33.719189,-84.215015
211401,33.727363,-84.362304
901602,33.817682,-84.313593
213044,33.75457,-84.374438
148048,33.66525,-84.408533
900125,33.870717,-84.456266
184029,33.596357,-84.468803
210131,33.708321,-84.214411
905765,33.850395,-84.362343
900643,33.819984,-84.388664
900905,33.761717,-84.469838
905805,33.851746,-84.335227
